title,price,sleeping_capacity,season
"HEROCLIP
Medium Hanger",$22.95,21 lbs. 5 oz.,72 sq. ft.
"FLEXTAIL
Max Pump 3",$53.00,1.9 x 3.4 in.,4.3 ounces
"Caddis
Rapid 2-Room Privacy Shelter",$249.95,1.9 x 3.4 in.,4.3 ounces
"Marmot
Bird House 3-Shelf Hanging Tent Organizer",$35.00,3.1 ounces,6.5 x 15 in.
"The North Face
Wawona 4 Footprint",$59.00,1 lb. 6.1 oz.,93.7 x 86.6 in.
"Gazelle
T4 Water-Resistant Duffel Bag",$62.93,60 x 14 x 14 in.,2.03 lbs
"Kelty
Highroads Shelter",$279.95,11 lbs. 8 oz.,50-120 sq. ft.
"Gear Aid
Elastic Shockcord - 7 ft.",$5.95,11 lbs. 8 oz.,50-120 sq. ft.
"Gear Aid
Seam Sure Water-Based Seam Sealer - 2 oz.",$8.95,11 lbs. 8 oz.,50-120 sq. ft.
"NEMO
Kunai 2P 3-4 Season Tent",$549.95,2-person,3 lbs. 14 oz.
"REI Co-op
Wonderland 6 Footprint",$49.95,2 lbs. 1 oz.,116 x 94 in.
"iKamper
Skycamp Awning 3.0",$405.00,128.37 sq. ft.,82.7 in.
"White Duck Outdoors
Rover 4-Person Scout Tent - 8' x 9'",$590.00,4-person,4-season
"REI Co-op
Wonderland 4 Footprint",$39.95,1 lb. 8 oz.,94 x 94 in.
"Sea to Summit
Ikos TR2 Tent",$335.00,2-person,4 lbs. 11.9 oz.
"Nite Ize
Figure 9 Carabiner Rope Tightener with 3.5 mm Cord - Package of 2",$11.50,2-person,4 lbs. 11.9 oz.
"SOL
Emergency Blanket",$6.95,2.5 ounces,84 x 56 in.
"Big Agnes
Copper Spur UL2 XL Footprint",$80.00,6 ounces,96 x 54 in.
"Kelty
Discovery Basecamp 6 Footprint",$34.95,1 lb. 2 oz.,115 x 102 in.
"outdoor element
Charlotte's Webbing Camp Organizer",$24.95,12 x 1 x 0.25 in.,115 x 102 in.
"REI Co-op
Shelter Setup Kit",$99.95,4 x 32 in.,4 lbs. 4 oz.
"Liberty Mountain
Shockcord - 1/8"" Diameter",$0.60,0.125 in.,4 lbs. 4 oz.
"Nite Ize
Figure 9 Large Carabiner Rope Tightener - Single",$7.30,0.125 in.,4 lbs. 4 oz.
"Gear Aid
Silnet Silicone Seam Sealer - 1.5 oz.",$9.95,0.125 in.,4 lbs. 4 oz.
"SOL
Emergency Blanket XL",$10.95,3.2 ounces,98 x 58 in.
"CGear Multimats
Sand-Free Beach Umbrella",$64.95,9 lbs. 9.6 oz.,49 sq. ft.
"Big Agnes
Copper Spur UL2 Footprint",$80.00,5 ounces,88 x 52/42 (L x W head/foot) in.
"REI Co-op
Snow Stake",$6.00,1 ounce,88 x 52/42 (L x W head/foot) in.
"Sea to Summit
Telos TR2 Bikepack Tent",$524.00,2-person,88 x 52/42 (L x W head/foot) in.
"Sea to Summit
Telos TR3 Tent",$524.00,3-person,4 lbs. 3.8 oz.
"Kelty
Discovery H2GO Privacy Shelter",$119.95,3-person,4 lbs. 3.8 oz.
"ENO
Guardian SL Hammock Bug Net",$49.95,9 ounces,4.5 x 7 in.
"MSR
Cyclone Tent Stakes - Package of 4",$35.95,1.2 ounces each,4.5 x 7 in.
"REI Co-op
Base Camp 4 Footprint",$49.95,1 lb. 5.3 oz.,96.5 x 83.3 in.
"Sea to Summit
Ikos TR3 Tent",$410.00,3-person,6 lbs. 7.7 oz.
"Gear Aid
Seam Grip Seam Sealer",$9.95,3-person,6 lbs. 7.7 oz.
"Neso
Gigante Sunshade",$179.95,9 lbs. 8 oz.,102.6 sq. ft.
"FLEXTAIL
Zero Pump",$48.00,1 x 3 in.,1.8 ounces
"Geyser Systems
Clean Kit Replacement Sponges - Package of 3",$14.95,1 x 3 in.,1.8 ounces
"Gazelle
T4 Tent Footprint",$79.95,2 lbs.,94 x 94 in.
"The North Face
Stormbreak 3 Footprint",$45.00,9 ounces,85.8 x 62.2 in.
"REI Co-op
Wonderland Mud Room",$99.00,5 lbs. 5.3 oz.,65.6 square feet
"Gazelle
All-Terrain Stakes - Package of 12",$34.95,4 lbs.,65.6 square feet
